Tên,Giá máy mới,Giá máy cũ,CPU,RAM,Tốc độ CPU,Tốc độ tối đa,Loại RAM,Tốc độ Bus RAM,Số nhân,Số luồng,Kích thước màn hình,Ổ cứng,Công nghệ màn hình,Độ phân giải,Công nghệ âm thanh,Card đồ họa,Cổng giao tiếp,WiFi,Bluetooth,Camera,Hệ điều hành,Kích thước,Trọng lượng,Thông tin Pin,Khe đọc thẻ nhớ,Nhà bán,Là máy cũ
Laptop Asus TUF Gaming FX516PM i7 11370H/8GB/512GB/6GB RTX3060/144Hz/Win10 (HN002T),32490000,0,Intel Core i7 Tiger Lake - 11370H,8,3.3,4.8,DDR4 2 khe (1 khe 8GB onboard + 1 khe trống),3200,4,8,15.6,"Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB) 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)","Adaptive-Sync
Chống chói Anti Glare
Tấm nền IPS",Full HD (1920 x 1080),DTS Audio,"Card rời - NVIDIA GeForce RTX 3060, 6 GB","3 x USB 3.2
HDMI 2.0
Jack tai nghe 3.5 mm
LAN (RJ45)
Thunderbolt 4 USB-C",Wi-Fi 6 (802.11ax),Bluetooth 5.1,Không tích hợp,Windows 10 Home SL,Dài 360 mm - Rộng 252 mm - Dày 19.9 mm,2,"4-cell Li-ion, 76 Wh",,Điện máy xanh,0
Laptop Apple MacBook Air M1 2020 16GB/256GB/7-core GPU,33990000,0,Apple M1,16,,,,,,,13.3,256 GB SSD,"400 nits
Công nghệ IPS
LED Backlit
True Tone Technology",Retina (2560 x 1600),"3 microphones
Headphones
Loa kép (2 kênh)",Card tích hợp - 7 nhân GPU,2 x Thunderbolt 3 (USB-C) Jack tai nghe 3.5 mm,Wi-Fi 6 (802.11ax),Bluetooth 5.0 ,720p FaceTime Camera,Mac OS,Dài 304.1 mm - Rộng 212.4 mm - Dày 4.1 mm đến 16.1 mm,1.29,Khoảng 10 tiếng,,Điện máy xanh,0
Laptop Asus ZenBook UX482EA i5 1135G7/8GB/512GB/Touch/Pen/Túi/Stand/Win10 (KA081T),32490000,0,Intel Core i5 Tiger Lake - 1135G7,8,2.4,4.2,LPDDR4X (On board),4267,4,8,14,512 GB SSD NVMe PCIe,"100% sRGB
400 nits
Chống chói Anti Glare
LED Backlit
Tấm nền IPS",Full HD (1920 x 1080),Audio by Harman/Kardon,Card tích hợp - Intel Iris Xe Graphics,"1 x USB 3.2
2 x Thunderbolt 4 USB-C
HDMI
Jack tai nghe 3.5 mm",Wi-Fi 6 (802.11ax),Bluetooth 5.0 ,Camera IR HD webcam,Windows 10 Home SL,Dài 324 mm - Rộng 222 mm - Dày 17.3 mm,1.62,"4-cell Li-ion, 70 Wh",Micro SD,Điện máy xanh,0
Laptop Asus TUF Gaming FX516PM i7 11370H/16GB/512GB/6GB RTX3060/144Hz/Win10 (HN023T),32490000,0,Intel Core i7 Tiger Lake - 11370H,16,3.3,4.8,DDR4 2 khe (8GB onboard+ 1 khe 8GB),3200,4,8,15.6,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng 512 GB SSD NVMe PCIe,"Adaptive-Sync
Chống chói Anti Glare
Tấm nền IPS",Full HD (1920 x 1080),DTS Audio,"Card rời - NVIDIA GeForce RTX 3060, 6 GB","3 x USB 3.2
HDMI 2.0
Jack tai nghe 3.5 mm
LAN (RJ45)
Thunderbolt 4 USB-C",Wi-Fi 6 (802.11ax),Bluetooth 5.1 ,Không tích hợp,Windows 10 Home SL,Dài 360 mm - Rộng 252 mm - Dày 19.9 mm,2,"4-cell Li-ion, 76 Wh",,Điện máy xanh,0
Laptop Dell Inspiron 7306A i7 1165G7/16GB/512GB/Touch/Pen/Win10 (P125G002N7306A),32490000,0,Intel Core i7 Tiger Lake - 1165G7,16,2.8,4.7,DDR4 2 khe (8 GB onboard + 8 GB onboard),4267,4,8,13.3,512 GB SSD NVMe PCIe,100% sRGB WVA,4K/UHD (3840 x 2160),Realtek ALC3204,Card tích hợp - Intel Iris Xe Graphics,"Jack tai nghe 3.5 mm
Thunderbolt 4 USB-C
1 x USB 3.2
HDMI",Wi-Fi 6 (802.11ax),Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 305 mm - Rộng 206 mm - Dày 16.7 mm,1.37,"4-cell, 60 Wh",Micro SD,Điện máy xanh,0
Laptop MSI Gaming GF65 10UE i7 10750H/16GB/512GB/6GB RTX3060 Max-Q/Balo/Win10 (228VN),31990000,0,Intel Core i7 Comet Lake - 10750H,16,2.6,5,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200,6,12,15.6,512 GB SSD NVMe PCIe Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng,LED Tấm nền IPS,Full HD (1920 x 1080),Nahimic Audio,"Card rời - NVIDIA GeForce RTX 3060 Max-Q, 6 GB","Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
LAN (RJ45)
2 x USB Type-C",Wi-Fi 6 (802.11ax),Bluetooth 5.1 ,HD webcam,Windows 10 Home SL,Dài 359 mm - Rộng 254 mm - Dày 21.7 mm,1.86,"3-cell Li-ion, 51 Wh",,Điện máy xanh,0
Laptop Dell Gaming G3 15 i7 10750H/16GB/512GB/6GB GTX1660Ti/120Hz/Win10 (P89F002BWH),31490000,0,Intel Core i7 Comet Lake - 10750H,16,2.6,5,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),2933,6,12,15.6,512 GB SSD NVMe PCIe Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng,LED WVA,Full HD (1920 x 1080),Nahimic 3,"Card rời - NVIDIA GeForce GTX 1660Ti, 6 GB","Jack tai nghe 3.5 mm
1 x USB 3.2
HDMI
LAN (RJ45)
Thunderbolt 3
2 x USB 2.0
Mini DisplayPort",Wi-Fi 6 (802.11ax),Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 364.46 mm - Rộng 254 mm - Dày 30.96 mm,2.58,"4-cell Li-ion, 68 Wh",SD,Điện máy xanh,0
Laptop Dell Gaming G3 i7 10750H/16GB/512GB/6GB GTX1660Ti/120Hz/Win10 (P89F002G3500B),31490000,0,Intel Core i7 Comet Lake - 10750H,16,2.6,5,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),2933,6,12,15.6,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng 512 GB SSD NVMe PCIe,LED WVA,Full HD (1920 x 1080),Nahimic 3,"Card rời - NVIDIA GeForce GTX 1660Ti, 6 GB","1 x USB 3.2
2 x USB 2.0
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
Thunderbolt 3",Wi-Fi 6 (802.11ax),Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 364.46 mm - Rộng 254 mm - Dày 30.96 mm,2.58,"4-cell Li-ion, 68 Wh",SD,Điện máy xanh,0
Laptop Asus TUF Gaming FX706HE i7 11800H/8GB/512GB/4GB RTX3050Ti/144Hz/Win10 (HX011T),31490000,0,Intel Core i7 Tiger Lake - 11800H,8,2.3,4.6,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200,8,16,17.3,512 GB SSD NVMe PCIe Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng,"Tấm nền IPS
Chống chói Anti Glare
250 nits",Full HD (1920 x 1080),DTS Audio,"Card rời - NVIDIA GeForce RTX3050Ti, 4 GB","Jack tai nghe 3.5 mm
Thunderbolt 4 USB-C
3 x USB 3.2
HDMI
LAN (RJ45)",Wi-Fi 6 (802.11ax),Bluetooth 5.2 ,HD webcam,Windows 10 Home SL,Dài 399 mm - Rộng 269 mm - Dày 23.9 mm,2.6,"3-cell Li-ion, 48 Wh",,Điện máy xanh,0
Laptop Dell Gaming G15 5515 R7 5800H/8GB/512GB/4GB RTX3050/120Hz/Office H&S2019/Win10 (70258049),30490000,0,AMD Ryzen 7 - 5800H,8,3.2,4.4,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200,8,16,15.6,"Không hỗ trợ khe cắm HDD
Không hỗ trợ khe cắm SSD M2 mở rộng thêm
512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB (2280) / 1TB (2230))",Chống chói Anti Glare WVA,Full HD (1920 x 1080),Nahimic Audio,"Card rời - NVIDIA GeForce RTX3050, 4 GB","1 x USB 3.2
2 x USB 2.0
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Wi-Fi 6 (802.11ax),Bluetooth 5.2 ,HD webcam,Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,Dài 357.2 mm - Rộng 272.1 mm - Dày 26.9 mm ,2.81,"3-cell Li-ion, 56 Wh",,Điện máy xanh,0
Laptop Asus ZenBook UX425EA i7 1165G7/16GB/512GB/Cáp/Túi/Win10 (KI439T),30190000,0,Intel Core i7 Tiger Lake - 1165G7,16,2.8,4.7,LPDDR4X (On board),4266,4,8,14,512 GB SSD NVMe PCIe,"Tấm nền IPS
Chống chói Anti Glare
LED Backlit
100% sRGB
400 nits",Full HD (1920 x 1080),Audio by Harman/Kardon,Card tích hợp - Intel Iris Xe Graphics,"2 x Thunderbolt 4 USB-C
1 x USB 3.2
HDMI",Wi-Fi 6 (802.11ax),Bluetooth 5.0 ,HD webcam Camera IR,Windows 10 Home SL,Dài 319 mm - Rộng 208 mm - Dày 13.9 mm,1.17,"4-cell Li-ion, 67 Wh",Micro SD,Điện máy xanh,0
Laptop Dell Inspiron 7501 i5 10300H/8GB/512GB/4GB GTX1650Ti/Win10 (N5I5012W),30090000,0,Intel Core i5 Comet Lake - 10300H,8,2.5,4.5,DDR4 2 khe (1 khe 8GB onboard + 1 khe trống),2933,4,8,15.6,512 GB SSD NVMe PCIe Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng,"LED Backlight - AntiGlare
100% sRGB
Độ sáng 300 nits
WVA",Full HD (1920 x 1080),Realtek High Definition Audio,Card rời - NVIDIA GeForce GTX 1650Ti 4 GB,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
USB Type-C",Wi-Fi 6 (802.11ax),Bluetooth 5.1 ,HD webcam,Windows 10 Home SL,Dài 356.1 mm - Rộng 234.5 mm - Dày 18.9 mm,1.9,"3-cell Li-ion, 56 Wh",Micro SD,Điện máy xanh,0
Laptop MSI Katana Gaming GF66 11UC i7 11800H/8GB/512GB/4GB RTX3050/144HzBalo/Win10 (224VN),29790000,0,Intel Core i7 Tiger Lake - 11800H,8,2.3,4.6,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200,8,16,15.6,512 GB SSD NVMe PCIe Không hỗ trợ khe cắm SSD M2 mở rộng thêm,LED Tấm nền IPS,Full HD (1920 x 1080),Nahimic Audio,"Card rời - NVIDIA GeForce RTX3050, 4 GB","Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
LAN (RJ45)
USB 2.0
USB Type-C",Wi-Fi 6 (802.11ax),Bluetooth 5.2 ,HD webcam,Windows 10 Home SL,Dài 359 mm - Rộng 259 mm - Dày 24.9 mm,2.1,"3-cell Li-ion, 53 Wh",,Điện máy xanh,0
Laptop GIGABYTE Gaming G5 i5 10500H/16GB/512GB/6GB RTX3060/144Hz/Win10 (5S11130SH),29590000,0,Intel Core i5 Comet Lake - 10500H,16,2.5,4.5,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200,6,12,15.6,"Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)
Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)
512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",Chống chói Anti Glare Công nghệ IPS,Full HD (1920 x 1080),DTS X:Ultra Audio,"Card rời - NVIDIA GeForce RTX 3060, 6 GB","2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
Mini DisplayPort
USB 2.0
USB Type-C",Wi-Fi 6 (802.11ax),Bluetooth 5.2 ,HD webcam,Windows 10 Home SL,Dài 361 mm - Rộng 258 mm - Dày 24.9 mm,2.2,"4-cell Li-ion, 41 Wh",SD,Điện máy xanh,0
Laptop GIGABYTE Gaming G5 i5 11400H/16GB/512GB/4GB RTX3050Ti/144Hz/Win10 (51S1123SH),29590000,0,Intel Core i5 Tiger Lake - 11400H,16,2.7,4.5,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200,6,12,15.6,"Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)
Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)
512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",Chống chói Anti Glare Công nghệ IPS,Full HD (1920 x 1080),DTS X:Ultra Audio,"Card rời - NVIDIA GeForce RTX3050Ti, 4 GB","2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
Mini DisplayPort
USB 2.0
USB Type-C",Wi-Fi 6 (802.11ax),Bluetooth 5.2 ,HD webcam,Windows 10 Home SL,Dài 361 mm - Rộng 258 mm - Dày 24.9 mm,2.2,"4-cell Li-ion, 41 Wh",SD,Điện máy xanh,0
Laptop Dell Gaming G3 15 i7 10750H/16GB/512GB/4GB GTX1650Ti/120Hz/Win10 (P89F002DBL),29490000,0,Intel Core i7 Comet Lake - 10750H,16,2.6,5,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),2933,6,12,15.6,Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB) 512 GB SSD NVMe PCIe,LED WVA,Full HD (1920 x 1080),Nahimic 3,Card rời - NVIDIA GeForce GTX 1650Ti 4 GB,"1 x USB 3.2
2 x USB 2.0
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Wi-Fi 802.11 a/b/g/n/ac,Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 364.46 mm - Rộng 254 mm - Dày 30.96 mm,2.58,"3-cell Li-ion, 51 Wh",SD,Điện máy xanh,0
Laptop Lenovo Yoga Duet 7 13IML05 i7 10510U/8GB/512GB/Touch/Pen/Win10 (82AS007CVN),29490000,0,Intel Core i7 Comet Lake - 10510U,8,1.8,4.9,DDR4 (On board),2666,4,8,13,512 GB SSD NVMe PCIe,"Tấm nền IPS
450 nits Glossy
Dolby Vision",WQHD (2160x1350),Dolby AudioPremium,Card tích hợp - Intel UHD Graphics,"2 x USB Type-C (Power Delivery and DisplayPort)
USB Type-C
Jack tai nghe 3.5 mm",Wi-Fi 6 (802.11ax),Bluetooth 5.0 ,"Sau 5 MP, trước 5 MP Camera IR",Windows 10 Home SL,Dài 297.4 mm - Rộng 207.4 mm - Dày 9.19 mm,1.1683,"Li-Polymer, 42 Wh",Micro SD,Điện máy xanh,0
Laptop Asus TUF Gaming FX706HC i7 11800H/8GB/512GB/4GB RTX3050/144Hz/Win10 (HX009T),29490000,0,Intel Core i7 Tiger Lake - 11800H,8,2.3,4.6,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200,8,16,17.3,"Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB) 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)","250 nits
Chống chói Anti Glare
Tấm nền IPS",Full HD (1920 x 1080),DTS Audio,"Card rời - NVIDIA GeForce RTX3050, 4 GB","3 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
Thunderbolt 4 USB-C",Wi-Fi 6 (802.11ax),Bluetooth 5.2 ,HD webcam,Windows 10 Home SL,Dài 399 mm - Rộng 269 mm - Dày 23.9 mm,2.6,"3-cell Li-ion, 48 Wh",,Điện máy xanh,0
Laptop HP Pavilion Gaming 16 a0109TX i7 10870H/8GB/32GB+512GB/4GB GTX1650Ti/Win10 (31J26PA),29390000,0,Intel Core i7 Comet Lake - 10870H,8,2.2,5,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200,8,16,16.1,"512 GB SSD NVMe PCIe
Intel Optane 32GB (H10)
Hỗ trợ khe cắm HDD SATA","Wled-backlit
Tấm nền IPS
Chống chói Anti Glare",Full HD (1920 x 1080),Bang & Olufsen audio,Card rời - NVIDIA GeForce GTX 1650Ti 4 GB,"Jack tai nghe 3.5 mm
HDMI
LAN (RJ45)
2 x USB 3.1
USB Type-C",Wi-Fi 6 (802.11ax),Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 370 mm - Rộng 262.5 mm - Dày 23.5 mm,2.35,"3-cell Li-ion, 52.5 Wh",SD,Điện máy xanh,0
Laptop Acer Nitro 5 Gaming AN515 57 727J i7 11800H/8GB/512GB/4GB RTX3050Ti/144Hz/Win10 (NH.QD9SV.005.),28990000,0,Intel Core i7 Tiger Lake - 11800H,8,2.3,4.6,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200,8,16,15.6,"Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)
Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng
512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)","Acer ComfyView
LED Backlit
Tấm nền IPS",Full HD (1920 x 1080),Acer TrueHarmony DTS X:Ultra Audio,"Card rời - NVIDIA GeForce RTX3050Ti, 4 GB","3 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Wi-Fi 6 (802.11ax),Bluetooth 5.1 ,HD webcam,Windows 10 Home SL,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm,2.2,"4-cell Li-ion, 57 Wh",,Điện máy xanh,0
